식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴 / 바이오틴(μg),비타민 B6 (mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방(g),EPA + DHA(mg),가돌레산(20:1 n-11) / 에이코센산(20:1 n-9)(mg),감마 리놀렌산(18:3 n-6)(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),"도코사펜타에노산(DPA, 22:5 n-3)(mg)","도코사헥사에노산(DHA, 22:6 n-3)(mg)",디호모리놀렌산(20:3 n-3)(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2 n-6)(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1 n-7)(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4 n-3)(mg),아라키돈산(20:4 n-6)(mg),아라키드산(20:0)(mg),알파리놀렌산(18:3 n-3)(g),에루크산(22:1)(mg),에이코사디에노산(20:2 n-6)(mg),에이코사트리에노산(20:3 n-6)(mg),"에이코사펜타에노산(EPA, 20:5 n-3)(mg)",오메가3 지방산(g),오메가6 지방산(g),올레산(18:1 n-9)(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1 trans n-9)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글리신(mg),라이신(mg),류신 / 루신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신 / 이소루신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),카페인(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
D202-090000000-0012,바게트_무화과크림 바게트,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,405,,5.8,22.5,,44.9,14.6,,,,,,253.0,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,140g,롤링핀,2,수집,2023-10-31,2025-04-08
D202-090000000-0013,바게트_미엘프로마쥬,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,278,,7.76,,,,6.53,,,,,,346.0,,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,245g,롤링핀,2,수집,2022-10-30,2025-04-08
D202-090000000-0014,바게트_반미마늘스틱,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,405,,4.55,,,,20.45,,,,,,325.0,,,,,,,,,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,44g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0015,바게트_반미바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,246,,5.13,,,,2.56,,,,,,295.0,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,78g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0016,바게트_순수바게트,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,264,,8.1,,,,0.6,,,,,,496.0,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,250g,롤링핀,2,수집,2022-10-30,2025-04-08
D202-090000000-0017,바게트_자꾸 생각나는 갈릭바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,444,,6.67,,,,11.11,,,,,,489.0,,,,,,,,,,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,45g,파리바게뜨,2,수집,2022-10-30,2025-04-08
D202-090000000-0018,바게트_치즈바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,305,,11.0,,,,2.0,,,,,,640.0,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,250g,파리바게뜨,2,수집,2022-10-30,2025-04-08
D202-090000000-0019,바게트_크랜베리 로프,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,249,,7.14,,,,9.14,,,,,,332.0,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,350g,롤링핀,2,수집,2022-10-30,2025-04-08
D202-090000000-0020,바게트_크랜베리윌넛,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,414,,4.76,,,,30.95,,,,,,369.0,,,,,,,,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,42g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0021,바게트_크림치즈모닝바게뜨 (H),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,292,,9.85,6.82,,46.21,6.06,,,,,,508.0,,,,,,,,,15.15,3.71,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,132g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0022,바게트_크림치즈모닝바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,292,,9.85,,,,5.68,,,,,,504.0,,,,,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,264g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0023,바게트_토마토 치즈 부기브레드,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,247,,10.0,,,,0.53,,,,,,274.0,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,3,식품의약품안전처,170g,카페띠아모,2,수집,2022-07-04,2025-04-08
D202-090000000-0024,바게트_통검정보리브레드,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,217,,6.0,,,,3.0,,,,,,612.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,510g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0025,바게트_통밀깜파뉴,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,241,,7.0,,,,5.0,,,,,,397.0,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,350g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0026,바게트_파리의 갈릭바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,429,,7.5,,,,11.67,,,,,,583.0,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,120g,파리바게뜨,2,수집,2022-10-30,2025-04-08
D202-090000000-0027,바게트_파리의 바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,265,,9.0,,,,0.5,,,,,,620.0,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200g,파리바게뜨,2,수집,2022-10-30,2025-04-08
D202-090000000-0028,바게트_프렌치마늘바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,323,,6.83,11.8,,45.96,10.56,,,,,,441.0,,,,,,,,,21.74,4.97,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,161g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0029,바게트_프렌치바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,252,,8.87,1.25,,50.4,0.4,,,,,,536.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,248g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0030,바게트_피자바게트,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,213,,10.0,,,,3.0,,,,,,412.0,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,248g,따삐오,2,수집,2022-10-30,2025-04-08
D202-090000000-0031,바게트_피자 바게트,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,297,,7.5,,,,4.38,,,,,,194.0,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,160g,뚜레쥬르,2,수집,2023-10-31,2025-04-08
D202-090000000-0032,바게트_허니바게트볼,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,370,,7.03,,,,9.38,,,,,,470.0,,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,3,식품의약품안전처,255g,할리스,2,수집,2022-07-11,2025-04-08
D202-090000000-0033,바게트_허니버터 바게트볼,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,66,,1.25,,,,2.29,,,,,,98.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,3,식품의약품안전처,480g,커피에반하다,2,수집,2022-07-11,2025-04-08
D202-090000000-0034,바게트_NEW 모닝바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,258,,8.95,1.21,,51.58,0.0,,,,,,537.0,,,,,,,,,0.0,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,190g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0035,바게트_NEW마늘바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,308,,8.3,6.79,,51.7,5.66,,,,,,532.0,,,,,,,,,16.98,2.64,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,265g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0036,바게트_갈릭바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,375,,7.5,17.5,,45.0,7.5,,,,,,525.0,,,,,,,,,4.38,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,80g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0037,바게트_꿀버터 바게트,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,363,,5.83,,,,15.0,,,,,,283.0,,,,,,,,,,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,120g,뚜레쥬르,2,수집,2023-10-31,2025-04-08
D202-090000000-0038,바게트_달콤바삭연유바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,374,,6.59,17.03,,48.35,10.99,,,,,,473.0,,,,,,,,,10.99,8.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,182g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0039,바게트_명란바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,350,,7.5,17.5,,41.25,2.5,,,,,,900.0,,,,,,,,,6.25,6.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,80g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0040,바게트_바게트_바게트볼,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,390,,7.0,,,45.0,11.0,,,,,,440.0,,,,,,,,,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,3,식품의약품안전처,100g,굽네치킨,2,수집,2023-10-11,2025-04-08
D202-090000000-0041,바게트_스위트깜빠뉴,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,264,,7.2,8.4,,39.8,5.8,,,,,,256.0,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,290g,롤링핀,2,수집,2023-10-31,2025-04-08
D202-090000000-0043,바게트_정통바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,255,,9.0,1.2,,51.0,0.0,,,,,,560.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,270g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-090000000-0044,바게트_콘에그바게뜨,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2090,바게트,209000,해당없음,20900000,해당없음,0,해당없음,100g,265,,8.14,15.7,,22.67,2.91,,,,,,483.0,,,,,,,,,72.67,2.91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,172g,파리바게뜨,2,수집,2023-10-31,2025-04-08
D202-091000000-0001,버거_1955 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,217,,10.98,11.36,,18.18,5.68,,,,,,352.0,,,,,,,,,22.35,3.79,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,264g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0014,버거_더블불고기 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,268,,10.97,16.03,,20.25,6.33,,,,,,421.0,,,,,,,,,17.72,5.49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,237g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0015,버거_더블빅맥 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,275,,14.73,,,,2.4,,,,,,369.0,,,,,,,,,,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,292g,맥도날드,2,수집,2022-10-30,2025-04-08
D202-091000000-0021,버거_더블쿼터파운더치즈 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,280,,18.18,16.36,,15.64,3.64,,,,,,419.0,,,,,,,,,39.64,7.27,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,275g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0027,버거_맥치킨 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,254,,10.19,13.59,,23.3,3.4,,,,,,526.0,,,,,,,,,20.39,1.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,206g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0028,버거_맥치킨모짜렐라 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,254,,10.58,12.29,,25.94,6.14,,,,,,595.0,,,,,,,,,18.43,2.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,293g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0039,버거_베이컨토마토디럭스 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,231,,11.74,11.34,,21.86,5.67,,,,,,378.0,,,,,,,,,25.1,4.45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,247g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0056,버거_빅맥 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,261,,12.11,13.9,,22.42,3.59,,,,,,404.0,,,,,,,,,25.56,4.93,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,223g,맥도날드,2,수집,2023-10-31,2025-04-08
D202-091000000-0065,버거_슈비 버거,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정보),2,빵 및 과자류,2091,버거,209100,해당없음,20910000,해당없음,0,해당없음,100g,201,,7.43,8.55,,23.79,5.58,,,,,,372.0,,,,,,,,,23.42,1.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,269g,맥도날드,2,수집,2023-10-31,2025-04-08
